"com_code","com_annee","com_type","popref_annee","popref_mun","popref_a_part","popref_tot","popref_date_maj"
"02032","2024","COM","2022","239","3","242","2024-12-30"
"02033","2024","COM","2022","101","2","103","2024-12-30"
"02034","2024","COM","2022","110","1","111","2024-12-30"
"02035","2024","COM","2022","282","9","291","2024-12-30"
"02036","2024","COM","2022","68","1","69","2024-12-30"
"02037","2024","COM","2022","1366","28","1394","2024-12-30"
"02038","2024","COM","2022","63","1","64","2024-12-30"
"02039","2024","COM","2022","175","3","178","2024-12-30"
"02040","2024","COM","2022","176","0","176","2024-12-30"
"02041","2024","COM","2022","791","19","810","2024-12-30"
"02042","2024","COM","2022","370","6","376","2024-12-30"
"02043","2024","COM","2022","62","1","63","2024-12-30"
"02044","2024","COM","2022","25","0","25","2024-12-30"
"02046","2024","COM","2022","556","11","567","2024-12-30"
"02047","2024","COM","2022","108","1","109","2024-12-30"
"02048","2024","COM","2022","128","1","129","2024-12-30"
"02049","2024","COM","2022","746","17","763","2024-12-30"
"02050","2024","COM","2022","317","3","320","2024-12-30"
"02051","2024","COM","2022","399","4","403","2024-12-30"
"02052","2024","COM","2022","130","6","136","2024-12-30"
"02053","2024","COM","2022","590","12","602","2024-12-30"
"02054","2024","COM","2022","517","17","534","2024-12-30"
"02055","2024","COM","2022","84","0","84","2024-12-30"
"02056","2024","COM","2022","172","3","175","2024-12-30"
"02057","2024","COM","2022","1324","20","1344","2024-12-30"
"02058","2024","COM","2022","813","12","825","2024-12-30"
"02059","2024","COM","2022","2625","33","2658","2024-12-30"
"02060","2024","COM","2022","257","2","259","2024-12-30"
"02061","2024","COM","2022","263","3","266","2024-12-30"
"02062","2024","COM","2022","133","1","134","2024-12-30"
"02063","2024","COM","2022","379","3","382","2024-12-30"
"02064","2024","COM","2022","3624","66","3690","2024-12-30"
"02065","2024","COM","2022","561","11","572","2024-12-30"
"02066","2024","COM","2022","188","2","190","2024-12-30"
"02067","2024","COM","2022","206","5","211","2024-12-30"
"02068","2024","COM","2022","81","5","86","2024-12-30"
"02069","2024","COM","2022","104","3","107","2024-12-30"
"02070","2024","COM","2022","434","12","446","2024-12-30"
"02071","2024","COM","2022","633","12","645","2024-12-30"
"02072","2024","COM","2022","177","3","180","2024-12-30"
"02073","2024","COM","2022","720","4","724","2024-12-30"
"02074","2024","COM","2022","586","11","597","2024-12-30"
"02075","2024","COM","2022","198","3","201","2024-12-30"
"02076","2024","COM","2022","154","3","157","2024-12-30"
"02078","2024","COM","2022","166","1","167","2024-12-30"
"02079","2024","COM","2022","137","4","141","2024-12-30"
"02080","2024","COM","2022","314","9","323","2024-12-30"
"02081","2024","COM","2022","425","12","437","2024-12-30"
"02082","2024","COM","2022","117","3","120","2024-12-30"
"02083","2024","COM","2022","741","23","764","2024-12-30"
"02084","2024","COM","2022","250","5","255","2024-12-30"
"02085","2024","COM","2022","991","26","1017","2024-12-30"
"02086","2024","COM","2022","989","13","1002","2024-12-30"
"02087","2024","COM","2022","34","1","35","2024-12-30"
"02088","2024","COM","2022","80","4","84","2024-12-30"
"02089","2024","COM","2022","1141","20","1161","2024-12-30"
"02090","2024","COM","2022","195","4","199","2024-12-30"
"02091","2024","COM","2022","91","0","91","2024-12-30"
"02093","2024","COM","2022","1212","56","1268","2024-12-30"
"02094","2024","COM","2022","473","6","479","2024-12-30"
"02095","2024","COM","2022","5724","72","5796","2024-12-30"
"02096","2024","COM","2022","188","2","190","2024-12-30"
"02097","2024","COM","2022","270","2","272","2024-12-30"
"02098","2024","COM","2022","376","9","385","2024-12-30"
"02099","2024","COM","2022","207","5","212","2024-12-30"
"02100","2024","COM","2022","139","0","139","2024-12-30"
"02101","2024","COM","2022","171","3","174","2024-12-30"
"02102","2024","COM","2022","184","3","187","2024-12-30"
"02103","2024","COM","2022","1316","5","1321","2024-12-30"
