"Code","LIB","mono","enf","Dipl","voit"
"02086","Bichancourt",15.9,11.1,5.4,94.2
"02087","Bieuxy",0,33.3,3.8,100
"02088","Bièvres",0,16.7,4.8,96.9
"02089","Billy-sur-Aisne",16.5,5.4,4.5,88.7
"02090","Billy-sur-Ourcq",7.7,15.4,6.6,89
"02091","Blanzy-lès-Fismes",14.3,0,5.6,97.5
"02093","Blérancourt",11.3,12.7,5.7,89.6
"02094","Blesmes",3.7,11.4,6.7,92.3
"02095","Bohain-en-Vermandois",23.9,15.7,9,67.8
"02096","Bois-lès-Pargny",16.7,8.3,8.1,90.4
"02097","Boncourt",5.9,11.4,11.3,93.3
"02098","Bonneil",4.5,13.6,6.1,91.8
"02099","Bonnesvalyn",0,14.3,9.4,96.7
"02100","Bony",12.5,25,8.2,92.3
"02101","Bosmont-sur-Serre",27.3,18.2,3.6,88.6
"02102","Bouconville-Vauclair",25,37.5,7.9,93
"02103","Boué",15.8,9.4,8.7,85
"02104","Bouffignereux",14.3,14.3,9.1,100
"02105","Bouresches",7.7,15.4,5.8,97.5
"02106","Bourg-et-Comin",2.2,10.7,3.8,88.7
"02107","Bourguignon-sous-Coucy",66.7,0,6.8,92.9
"02108","Bourguignon-sous-Montbavin",0,0,6.3,93.8
"02109","La Bouteille",3.4,10.3,9.1,92.6
"02110","Braine",16.2,10.2,5.4,84.3
"02111","Brancourt-en-Laonnois",12.1,12.5,5.9,91.7
"02112","Brancourt-le-Grand",12.4,5.6,5.2,92.4
"02114","Brasles",14,4.7,5.1,87.1
"02115","Braye-en-Laonnois",9.1,9.1,7.4,92
"02116","Braye-en-Thiérache",12.5,12.5,9.2,89.8
"02117","Bray-Saint-Christophe",0,25,13.5,100
"02118","Braye",0,16.7,1.1,89.4
"02119","Brécy",23.8,4.8,6.7,94
"02120","Brenelle",15.4,7.7,2.7,93.5
"02121","Breny",7.1,7.1,11.6,93.7
"02122","Brie",75,25,9.3,88.9
"02123","Brissay-Choigny",16.1,5,3.4,88.9
"02124","Brissy-Hamégicourt",9.8,4.9,7.3,89.5
"02125","Brumetz",20,20,6.9,97.1
"02126","Brunehamel",3.9,15.3,8.8,79.2
